,Date,Year,Month,Day,lookup,Day of Week,Category,Aircraft Type,# of Aircraft,Location,Tail Numbers,Night,Notes,Source,Map
667,1/27/2022,2022,1,27,5,Thursday,EW,Y-8 EW,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=79536&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,https://www.mnd.gov.tw/NewUpload/202201/0127%E6%88%91%E8%A5%BF%E5%8D%97%E7%A9%BA%E5%9F%9F%E7%A9%BA%E6%83%85%E5%8B%95%E6%85%8B(%E4%B8%AD%E8%8B%B1%E6%96%87%E7%89%88)_372550.pdf
668,1/28/2022,2022,1,28,6,Friday,ELINT,Y-8 ELINT,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=79539&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,https://www.mnd.gov.tw/NewUpload/202201/0128%E6%88%91%E8%A5%BF%E5%8D%97%E7%A9%BA%E5%9F%9F%E7%A9%BA%E6%83%85%E5%8B%95%E6%85%8B(%E4%B8%AD%E8%8B%B1%E6%96%87%E7%89%88)_502707.pdf
669,1/30/2022,2022,1,30,1,Sunday,ASW,Y-8 ASW,2,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=79541&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,https://www.mnd.gov.tw/NewUpload/202201/0130%E6%88%91%E8%A5%BF%E5%8D%97%E7%A9%BA%E5%9F%9F%E7%A9%BA%E6%83%85%E5%8B%95%E6%85%8B(%E4%B8%AD%E8%8B%B1%E6%96%87%E7%89%88)_483143.pdf
670,1/30/2022,2022,1,30,1,Sunday,Fighter,J-11,2,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=79541&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,https://www.mnd.gov.tw/NewUpload/202201/0130%E6%88%91%E8%A5%BF%E5%8D%97%E7%A9%BA%E5%9F%9F%E7%A9%BA%E6%83%85%E5%8B%95%E6%85%8B(%E4%B8%AD%E8%8B%B1%E6%96%87%E7%89%88)_483143.pdf
671,1/31/2022,2022,1,31,2,Monday,Fighter,J-16,3,Southwest ADIZ,,,Touched southern tip of the median line,https://www.mnd.gov.tw/Publish.aspx?p=79543&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,https://www.mnd.gov.tw/NewUpload/202201/0131%E6%88%91%E8%A5%BF%E5%8D%97%E7%A9%BA%E5%9F%9F%E7%A9%BA%E6%83%85%E5%8B%95%E6%85%8B(%E4%B8%AD%E8%8B%B1%E6%96%87%E7%89%88)%E6%8C%87%E6%8F%AE%E5%AE%A4_330495.pdf
672,1/31/2022,2022,1,31,2,Monday,Fighter,J-16D,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=79543&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,https://www.mnd.gov.tw/NewUpload/202201/0131%E6%88%91%E8%A5%BF%E5%8D%97%E7%A9%BA%E5%9F%9F%E7%A9%BA%E6%83%85%E5%8B%95%E6%85%8B(%E4%B8%AD%E8%8B%B1%E6%96%87%E7%89%88)%E6%8C%87%E6%8F%AE%E5%AE%A4_330495.pdf
673,1/31/2022,2022,1,31,2,Monday,AEW&C,KJ-500,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=79543&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,https://www.mnd.gov.tw/NewUpload/202201/0131%E6%88%91%E8%A5%BF%E5%8D%97%E7%A9%BA%E5%9F%9F%E7%A9%BA%E6%83%85%E5%8B%95%E6%85%8B(%E4%B8%AD%E8%8B%B1%E6%96%87%E7%89%88)%E6%8C%87%E6%8F%AE%E5%AE%A4_330495.pdf
674,2/4/2022,2022,2,4,6,Friday,ASW,Y-8 ASW,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=79545&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,https://www.mnd.gov.tw/NewUpload/202202/0204%E6%88%91%E8%A5%BF%E5%8D%97%E7%A9%BA%E5%9F%9F%E7%A9%BA%E6%83%85%E5%8B%95%E6%85%8B(%E4%B8%AD%E8%8B%B1%E6%96%87%E7%89%88)_584763.pdf
675,2/5/2022,2022,2,5,7,Saturday,RECCE,Y-8 RECCE,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=79547&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,https://www.mnd.gov.tw/NewUpload/202202/0205%E6%88%91%E8%A5%BF%E5%8D%97%E7%A9%BA%E5%9F%9F%E7%A9%BA%E6%83%85%E5%8B%95%E6%85%8B(%E4%B8%AD%E8%8B%B1%E6%96%87%E7%89%88)_041237.pdf
676,2/5/2022,2022,2,5,7,Saturday,ASW,Y-8 ASW,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=79547&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,https://www.mnd.gov.tw/NewUpload/202202/0205%E6%88%91%E8%A5%BF%E5%8D%97%E7%A9%BA%E5%9F%9F%E7%A9%BA%E6%83%85%E5%8B%95%E6%85%8B(%E4%B8%AD%E8%8B%B1%E6%96%87%E7%89%88)_041237.pdf
